# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
0.000000000000000000e+00, 1.876500000000000130e-03, 1.474634233341841976e-07, 2.395725724633830112e+02, 1.499141607188755609e-01, 1.474634233341841976e-07
6.000000000000000000e+01, 1.876574916153739021e-03, 1.541609980658330873e-07, 2.395902850406301354e+02, 1.498665260365146801e-01, 1.479264472523346131e-07
1.200000000000000000e+02, 1.876650129420822473e-03, 1.543455860076094577e-07, 2.396054411027389790e+02, 1.498254261683655275e-01, 1.480060537929297921e-07
1.800000000000000000e+02, 1.876725476783368306e-03, 1.562572137151953917e-07, 2.396212024184416123e+02, 1.497827744535714933e-01, 1.483128312346236349e-07
2.400000000000000000e+02, 1.876800396963655172e-03, 1.576443735467697549e-07, 2.396458581871279989e+02, 1.497173754048189975e-01, 1.485387471318771664e-07
3.000000000000000000e+02, 1.876875301527054915e-03, 1.571799370895868549e-07, 2.396685108372950026e+02, 1.496571048578919094e-01, 1.487059767171294339e-07
3.600000000000000000e+02, 1.876950192924217243e-03, 1.567731483425365285e-07, 2.396894520271348767e+02, 1.496012161439440602e-01, 1.488426242750204979e-07
4.200000000000000000e+02, 1.877025072815981591e-03, 1.564218985900118075e-07, 2.397089080334525306e+02, 1.495491299735905721e-01, 1.489620416840170334e-07
4.800000000000000000e+02, 1.877099942349411740e-03, 1.561187920247596033e-07, 2.397270798831911236e+02, 1.495003317216289651e-01, 1.490769967295919259e-07
5.400000000000000000e+02, 1.877174802495071163e-03, 1.558101724654766384e-07, 2.397440752149470029e+02, 1.494545457708154057e-01, 1.491893931339891207e-07
6.000000000000000000e+02, 1.877249654092476685e-03, 1.555008497156495795e-07, 2.397597668444121268e+02, 1.494120974025135162e-01, 1.492692417363632343e-07
6.600000000000000000e+02, 1.877324497770971887e-03, 1.552663430596636862e-07, 2.397744685050173246e+02, 1.493721836576862583e-01, 1.493507788203184947e-07
7.200000000000000000e+02, 1.877399333913361236e-03, 1.550502352061609712e-07, 2.397882975541895121e+02, 1.493345041163632869e-01, 1.494410948580763161e-07
7.800000000000000000e+02, 1.877474163103711163e-03, 1.548208506768958636e-07, 2.398011922922548536e+02, 1.492992165308050234e-01, 1.495224441398277520e-07
8.400000000000000000e+02, 1.877548985851030519e-03, 1.545962261557059004e-07, 2.398131877662699765e+02, 1.492662311003328246e-01, 1.495915658906163037e-07
9.000000000000000000e+02, 1.877623802626940744e-03, 1.543941076563075348e-07, 2.398243484340930536e+02, 1.492353827787769038e-01, 1.496499843062383976e-07
9.600000000000000000e+02, 1.877698613816728042e-03, 1.542294361167985552e-07, 2.398348055454987104e+02, 1.492063356377353323e-01, 1.497092997390427118e-07
1.020000000000000000e+03, 1.877773419689765695e-03, 1.540796583849220171e-07, 2.398446435231688554e+02, 1.491788735838288638e-01, 1.497748986126461227e-07
1.080000000000000000e+03, 1.877848220633843764e-03, 1.539206610964416429e-07, 2.398538283012191243e+02, 1.491530836910645585e-01, 1.498356668523687769e-07
1.140000000000000000e+03, 1.877923017008929947e-03, 1.537596519793077560e-07, 2.398623673734527415e+02, 1.491289466984781209e-01, 1.498868445877907455e-07
1.200000000000000000e+03, 1.877997809130648506e-03, 1.536083711186206419e-07, 2.398702976034171570e+02, 1.491063682062991336e-01, 1.499282556615356595e-07
1.260000000000000000e+03, 1.878072597287828299e-03, 1.534833990313853932e-07, 2.398776971511482543e+02, 1.490851481675333490e-01, 1.499659885390403497e-07
1.320000000000000000e+03, 1.878147381765036834e-03, 1.533837084683195585e-07, 2.398846651343755241e+02, 1.490650329298031929e-01, 1.500094644745768298e-07
